name,Bureau/Service,BSID,bureauservice_id,Strand,SID,strand_id,shortname,created_by,updated_by,deleted_by
Curriculum Standards Development Division (CSDD-BCD),Bureau of Curriculum Development (BCD),2,2,Curriculum and Instruction,1,1,CSDD,,,
Special Curricular Programs Division (SCPD-BCD),Bureau of Curriculum Development (BCD),2,2,Curriculum and Instruction,1,1,SCPD,,,
Office of the Director – Bureau of Curriculum Development (BCD),Bureau of Curriculum Development (BCD),2,2,Curriculum and Instruction,1,1,OD,,,
Education Assessment Division (EAD-BEA),Bureau of Education Assessment (BEA),3,3,Curriculum and Instruction,1,1,EAD,,,
Education Research Division (ERD-BEA),Bureau of Education Assessment (BEA),3,3,Curriculum and Instruction,1,1,ERD,,,
Office of the Director – Bureau of Education Assessment (BEA),Bureau of Education Assessment (BEA),3,3,Curriculum and Instruction,1,1,OD,,,
Teaching and Learning Division (TLD-BLD),Bureau of Learning Delivery (BLD),6,6,Curriculum and Instruction,1,1,TLD,,,
Student Inclusion Division (SID-BLD),Bureau of Learning Delivery (BLD),6,6,Curriculum and Instruction,1,1,SID,,,
Office of the Director – Bureau of Learning Delivery (BLD),Bureau of Learning Delivery (BLD),6,6,Curriculum and Instruction,1,1,OD,,,
Learning Resources Production Division (LRPD-BLR),Bureau of Learning Resources (BLR),7,7,Curriculum and Instruction,1,1,LRPD,,,
Learning Resources Quality Assurance Division (LRQAD-BLR),Bureau of Learning Resources (BLR),7,7,Curriculum and Instruction,1,1,LRQAD,,,
Office of the Director – Bureau of Learning Resources (BLR),Bureau of Learning Resources (BLR),7,7,Curriculum and Instruction,1,1,OD,,,
Employee Welfare Division (EWD-BHROD),Bureau of Human Resource and Organizational Development (BHROD),4,4,Governance and Operations,4,4,EWD,,,
Human Resource Development Division (HRDD-BHROD),Bureau of Human Resource and Organizational Development (BHROD),4,4,Governance and Operations,4,4,HRDD,,,
Organization Effectiveness Division (OED-BHROD),Bureau of Human Resource and Organizational Development (BHROD),4,4,Governance and Operations,4,4,OED,,,
School Effectiveness Division (SED-BHROD),Bureau of Human Resource and Organizational Development (BHROD),4,4,Governance and Operations,4,4,SED,,,
Office of the Director - Bureau of Human Resource and Organizational Development (BHROD),Bureau of Human Resource and Organizational Development (BHROD),4,4,Governance and Operations,4,4,OD,,,
School Health Division (SHD-BLSS),Bureau of Learner Support Services (BLSS),5,5,Governance and Operations,4,4,SHD,,,
School Sports Division (SSD-BLSS),Bureau of Learner Support Services (BLSS),5,5,Governance and Operations,4,4,SSD,,,
Youth Formation Division (YFD-BLSS),Bureau of Learner Support Services (BLSS),5,5,Governance and Operations,4,4,YFD,,,
Office of the Director - Bureau of Learner Support Services (BLSS),Bureau of Learner Support Services (BLSS),5,5,Governance and Operations,4,4,OD,,,
Professional Development Division (PDD-NEAP),National Educators Academy of the Philippines (NEAP),12,12,Governance and Operations,4,4,PDD,,,
